Product ID,Name,Price,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
1,Брынза,6591,547,Молочные продукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2004-01-04,2028-02-14,5.01,Backorder
2,Ессентуки,7728,247,Напитки,"Богат кальцием, необходимым для укрепления костей и зубов.",1995-01-14,2028-03-01,0.21,Backorder
3,Кофеварка,3249,480,Товары для дома,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2016-04-21,2026-01-23,2.04,Returned
4,Каша из поленты,3797,908,Бакалея,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2017-02-16,2027-08-07,2.62,Temporarily Unavailable
5,Апельсин,3967,809,Фрукты,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2014-03-02,2015-03-01,4.08,Awaiting Payment
6,Молочный шоколад,3639,648,Бакалея,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",1993-01-10,2006-01-03,3.64,Awaiting Review
7,Симферопольская,5960,78,Напитки,"Является источником антиоксидантов, замедляющих процессы старения.",2011-03-03,2023-02-13,0.01,Sold
8,Сервелат,5019,626,Мясо,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",1991-09-06,2010-01-01,1.48,In Stock
9,Нектарин,3041,562,Фрукты,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2022-02-15,2028-02-06,3.67,Sold
10,Сельдерей,7872,44,Овощи,Помогает поддерживать нормальный уровень pH в организме.,2016-02-01,2018-06-23,0.79,New
11,Волжанка,6837,765,Напитки,Помогает поддерживать нормальный уровень pH в организме.,2007-04-18,2013-10-12,4.01,In Stock
12,Джем,7226,993,Бакалея,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",1994-08-04,2019-05-02,1.84,Available for Pickup
13,Черника,8612,80,Фрукты,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2010-04-05,2013-02-01,1.6,Backorder
14,Сорго,1728,73,Бакалея,"Обладает мягким вкусом, который нравится многим потребителям.",2014-02-03,2020-07-03,4.3,Sold
15,Катык,2383,277,Молочные продукты,Используется в косметологии для ухода за кожей и волосами.,2011-01-01,2015-11-07,4.54,New
16,Волжанка,3717,359,Напитки,Подходит для использования в качестве замены традиционных молочных продуктов.,1996-07-15,2019-03-19,3.51,Returned
17,Цукини,2416,961,Овощи,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1997-03-23,2011-03-20,2.71,Delivered
18,Дезодорант,9934,876,Товары для дома,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,1993-04-01,2012-04-08,0.05,Shipping
19,Шубат,8077,949,Молочные продукты,Помогает укреплять стенки сосудов и улучшать кровообращение.,2000-01-09,2005-02-01,1.99,New
20,Консервированные бобы,3633,425,Бакалея,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2009-01-24,2012-02-01,0.78,Awaiting Payment
21,Тушенка,229,959,Мясо,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2002-05-01,2016-01-02,4.04,Sold
22,Свекла,6530,965,Овощи,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2010-03-01,2013-03-01,2.83,Available for Pickup
23,Сырой арахис,234,466,Бакалея,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2015-03-01,2019-03-02,1.27,Awaiting Review
24,Ласси,4936,527,Молочные продукты,Помогает поддерживать нормальный уровень электролитов в организме.,2020-04-06,2021-03-03,3.76,Delivered
25,Ласси,4493,793,Молочные продукты,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2018-01-08,2028-06-01,0.35,Sold
26,Петрушка корневая,633,578,Овощи,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2021-03-12,2023-06-04,3.81,Sold
27,Челябинская,1300,985,Напитки,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2004-02-26,2021-03-15,0.62,Refunded
28,Простокваша,3444,132,Молочные продукты,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2016-02-03,2025-05-10,4.81,Backorder
29,Сэндвичи с ветчиной,8467,560,Мясо,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",1996-06-08,2021-03-05,0.62,Refunded
30,Сковороды,435,87,Товары для дома,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2008-01-01,2018-07-02,0.18,Returned
31,Боржоми,8724,301,Напитки,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2004-02-01,2030-03-12,2.14,Out of Stock
32,Зельц,6012,480,Мясо,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",2011-01-06,2028-01-02,1.02,Refunded
33,Пакеты для Всемирного дня поэзии,2765,672,Товары для дома,Поддерживает иммунитет и общее состояние здоровья.,2005-04-05,2028-02-01,1.39,On Backorder
34,Масло оливковое,6139,419,Бакалея,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2022-02-04,2024-06-10,4.38,New
35,Эндивий,5419,632,Овощи,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2005-01-02,2025-03-01,4.81,Temporarily Unavailable
36,Лен семена,4384,62,Бакалея,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2002-04-03,2004-05-01,3.24,Awaiting Payment
37,Брокколи,5017,429,Овощи,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2013-01-03,2013-07-10,3.3,Backorder
38,Сок яблочный,1879,366,Напитки,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2018-01-14,2028-01-05,2.67,On Backorder
39,Каймак,851,299,Молочные продукты,Помогает поддерживать нормальный уровень холестерина в крови.,2008-04-06,2014-03-03,1.27,Cancelled
40,Белый перец молотый,6825,166,Бакалея,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",1998-03-17,2001-11-12,3.83,On Backorder
41,Эскалоп,7311,486,Мясо,"Отличается длительным сроком годности, что позволяет делать запасы.",2020-06-09,2029-09-14,2.76,Returned
42,Мелисса сушеная,6209,889,Бакалея,Помогает поддерживать нормальный уровень триглицеридов в крови.,1996-02-03,2009-02-21,3.7,Backorder
43,Вилки,1235,668,Товары для дома,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",1999-02-05,2012-09-24,1.7,Awaiting Review
44,Пакеты для Дня матери,8333,193,Товары для дома,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",1999-10-01,2014-07-09,3.31,Pending
45,Постельное белье,1854,154,Товары для дома,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,1991-01-06,2018-04-04,4.22,Backorder
46,Пакеты для концерта,5772,259,Товары для дома,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2005-04-05,2016-03-01,4.3,Cancelled
47,Курт,6189,368,Молочные продукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2021-02-05,2029-08-09,1.23,Pending
48,Шубат,3060,570,Молочные продукты,Помогает предотвратить дефицит витаминов и минералов в организме.,2016-06-14,2025-01-13,0.58,Sold
49,Кофе молотый,901,590,Бакалея,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2000-05-02,2006-03-07,3.01,Refunded
50,Пакеты для лекарств,106,271,Товары для дома,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",1998-01-01,2007-04-08,2.9,Pending
51,Киноа,6413,395,Бакалея,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2020-03-04,2027-02-03,1.73,Awaiting Payment
52,Джем,7684,190,Бакалея,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2007-07-02,2026-05-02,4.85,Delivered
53,Буковинская,9291,381,Напитки,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",1993-03-01,2009-06-14,4.42,New
54,Пакеты для лекарств,2983,744,Товары для дома,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2013-03-12,2030-02-11,4.24,Delivered
55,Апельсин,4259,838,Фрукты,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2018-01-04,2025-03-04,2.95,Temporarily Unavailable
56,Айва,7543,733,Фрукты,"Богат кальцием, необходимым для укрепления костей и зубов.",2021-01-28,2029-03-05,3.11,Out of Stock
57,Мате,6962,684,Напитки,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2004-01-01,2013-01-02,3.09,Refunded
58,Пакеты для Всемирного дня воды,9984,675,Товары для дома,Помогает поддерживать нормальный обмен веществ и метаболизм.,2006-01-01,2023-01-05,1.73,Awaiting Review
59,Ананас,390,85,Фрукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1998-04-06,2028-01-16,4.62,Awaiting Review
60,Чеснок,9179,983,Овощи,"Отличается приятным ароматом, который усиливает аппетит.",1991-08-12,1999-01-04,1.47,On Backorder
61,Груша,873,82,Фрукты,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2009-04-01,2026-02-02,4.19,Sold
62,Баклажан,4887,740,Овощи,"Подходит для людей всех возрастов, включая детей и пожилых.",2012-10-01,2030-01-07,1.07,In Stock
63,Патиссон,1518,219,Овощи,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2009-05-18,2011-02-27,0.5,Awaiting Payment
64,Амарант семена,4207,949,Бакалея,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2015-07-01,2026-02-08,2.94,Available for Pickup
65,Йогурт питьевой,9943,787,Напитки,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2008-03-08,2027-08-07,1.06,Shipping
66,Ананас,311,809,Фрукты,Представляет собой ценный источник питательных веществ для растущего организма.,2020-06-13,2022-01-07,1.73,Shipping
67,Тан,4789,822,Молочные продукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2019-04-13,2024-04-03,4.42,Returned
68,Брокколи,3417,761,Овощи,Отвечает всем современным стандартам качества и безопасности.,2015-02-06,2016-01-03,0.31,Sold
69,Ряженка,2583,671,Молочные продукты,Помогает предотвратить дефицит витаминов и минералов в организме.,1995-02-12,2009-01-01,4.53,On Backorder
70,Камут,9913,666,Бакалея,Подходит для использования в специализированных диетах и лечебных программах.,2019-02-06,2019-03-15,2.7,On Backorder
71,Тефтели,2781,910,Мясо,Помогает сохранять бодрость и активность в течение дня.,2012-01-07,2016-11-01,3.78,In Stock
72,Бумажные полотенца,7909,723,Товары для дома,Отличается хорошим сочетанием с различными специями и приправами.,2018-08-07,2027-03-15,2.16,Cancelled
73,Кефир,814,634,Молочные продукты,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2005-06-08,2022-01-05,1.4,Out of Stock
74,Просо,5289,644,Бакалея,Отличается высоким уровнем биологической доступности питательных веществ.,2013-05-02,2016-01-18,2.17,Backorder
75,Бадьян,7615,252,Бакалея,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2007-04-12,2022-12-10,0.9,Sold
76,Солнечногорская,4679,344,Напитки,Служит основой для создания множества кулинарных шедевров.,2020-04-05,2029-06-25,0.1,Awaiting Review
77,Ряженка,4441,795,Молочные продукты,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2019-06-05,2022-10-05,2.69,On Backorder
78,Грейпфрут,3934,248,Фрукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2007-05-07,2017-01-04,1.67,New
79,Пакеты для косметики,288,314,Товары для дома,Отличается низкой калорийностью и высоким содержанием белка.,1998-08-20,2016-01-09,1.23,Temporarily Unavailable
80,Консервированные бобы,4288,242,Бакалея,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2010-02-02,2021-03-01,3.57,Delivered
81,Каша из дробленного пшена,5927,893,Бакалея,Отличается высоким уровнем биологической доступности питательных веществ.,2001-01-01,2009-08-16,4.23,Available for Pickup
82,Боржоми,9138,312,Напитки,Помогает поддерживать нормальный уровень гормонов в организме.,1990-03-21,2000-02-05,2.74,Backorder
83,Шея,7357,131,Мясо,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,1992-04-10,1997-08-03,3.36,Sold
84,Камут,2503,242,Бакалея,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,1994-02-05,2018-03-08,4.82,Delivered
85,Каша из дробленого кускуса,3130,199,Бакалея,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2006-03-07,2014-07-01,1.23,In Stock
86,Квас хлебный,5742,109,Напитки,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2013-02-03,2024-04-04,3.19,Temporarily Unavailable
87,Черный перец горошком,2122,732,Бакалея,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1996-04-20,2014-01-08,1.96,Backorder
88,Разрыхлитель теста,9474,761,Бакалея,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",1997-08-01,2001-01-05,2.32,Awaiting Review
89,Мороженое,7975,812,Молочные продукты,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2007-02-09,2019-05-02,3.09,Awaiting Review
90,Патиссон,6897,513,Овощи,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",1994-01-04,1994-01-05,4.43,Returned
91,Гауда,1532,506,Молочные продукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2009-03-12,2018-02-02,4.2,New
92,Пакеты для Всемирного дня здоровья,3634,299,Товары для дома,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2006-03-02,2006-08-20,4.3,New
93,Творог,7449,600,Молочные продукты,Помогает поддерживать нормальный уровень холестерина в крови.,2022-03-02,2025-09-05,1.7,Temporarily Unavailable
94,Сельдерей,2367,244,Овощи,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2011-04-25,2012-07-11,2.65,Pending
95,Пакеты для школы,2391,438,Товары для дома,Прошел сертификацию на соответствие требованиям органических стандартов.,2009-01-01,2018-01-01,0.9,Temporarily Unavailable
96,Виноград,5019,661,Фрукты,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",1997-04-02,2030-05-02,2.25,New
97,Брокколи,6570,498,Овощи,Подходит для использования в рационе людей с повышенным давлением.,2014-07-07,2017-01-02,1.44,Sold
98,Топлёное молоко,9504,298,Молочные продукты,Способствует нормализации обмена веществ в организме.,1997-01-04,2019-02-04,1.37,New
99,Кокос,2369,257,Фрукты,Отличается универсальностью применения в кулинарии и пищевой промышленности.,1999-06-07,2020-01-07,3.57,Out of Stock
100,Адыгейский сыр,1034,730,Молочные продукты,Служит основой для создания множества кулинарных шедевров.,1995-01-04,2029-01-17,4.13,Delivered
101,Варенец,9311,682,Молочные продукты,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2005-01-12,2006-02-02,0.45,Pending
102,Патиссон,4189,550,Овощи,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",1992-08-08,2006-05-06,4.99,Cancelled
103,Салфетки сухие,3233,228,Товары для дома,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2012-04-12,2019-05-18,1.06,Awaiting Review
104,Каша из дробленной манной крупы,3347,800,Бакалея,Помогает укреплять стенки сосудов и улучшать кровообращение.,2022-01-03,2027-01-04,2.22,Awaiting Review
105,Волгодонская,4065,676,Напитки,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2018-01-07,2025-06-05,0.05,In Stock
106,Кола,5469,845,Напитки,Помогает поддерживать нормальный уровень энергии и выносливости.,2001-02-03,2014-02-05,1.22,Cancelled
107,Щавель,602,616,Овощи,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2021-02-05,2021-06-02,2.93,Cancelled
108,Портулак,6837,9,Овощи,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2006-08-05,2022-08-18,0.04,Awaiting Review
109,Мандарин,5006,367,Фрукты,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2015-04-01,2024-04-01,2.97,Shipping
110,Виноград,873,592,Фрукты,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2006-09-02,2022-07-03,0.77,Awaiting Review
111,Сырокопченая колбаса,3598,290,Мясо,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,1997-03-01,2023-04-13,3.94,Backorder
112,Фанта,7365,232,Напитки,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2000-03-09,2016-02-02,1.1,Returned
113,Кондиционер для волос,3415,209,Товары для дома,Отличается низким содержанием насыщенных жиров и холестерина.,2020-10-10,2023-03-21,0.75,Awaiting Payment
114,Робот-пылесос,2064,329,Товары для дома,Подходит для использования в специализированных диетах и лечебных программах.,1994-01-03,1998-01-08,2.93,Available for Pickup
115,Гвоздика молотая,1089,41,Бакалея,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2016-02-16,2028-02-02,0.94,Cancelled
116,Lipton Ice Tea,1661,253,Напитки,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2012-02-01,2020-01-10,3.87,New
117,Айран,4770,386,Молочные продукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2015-01-01,2027-06-02,4.77,Delivered
118,Sprite Zero,5405,521,Напитки,Является важным элементом спортивного питания для восстановления после тренировок.,1999-05-06,2021-01-01,3.47,New
119,Робот-пылесос,5009,539,Товары для дома,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",1993-02-03,1997-03-05,2.67,Backorder
120,Пакеты для детских вещей,3002,681,Товары для дома,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2004-03-09,2011-05-01,1.91,Sold
121,Редис,3198,69,Овощи,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2010-01-01,2019-06-08,3.56,Returned
122,Фарш говяжий,5370,861,Мясо,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2002-02-04,2014-03-13,0.96,Shipping
123,Черешня,1631,476,Фрукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2016-02-07,2018-01-09,4.38,Out of Stock
124,Ребрышки,1205,816,Мясо,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",1997-01-01,2001-01-19,4.38,Temporarily Unavailable
125,Эндивий,4676,27,Овощи,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",1996-01-18,2027-02-27,3.37,New
126,Каймак,4055,245,Молочные продукты,Помогает поддерживать нормальный обмен веществ и метаболизм.,1994-02-04,2004-01-02,3.93,Shipping
127,Освежитель воздуха,8162,512,Товары для дома,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2021-06-02,2022-02-25,4.68,Backorder
128,Мягкие игрушки,7944,612,Товары для дома,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",1995-06-03,1999-01-20,3.97,Backorder
129,Лимон,4213,501,Фрукты,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2011-07-04,2015-02-07,3.92,Backorder
130,Кухонные ножи,1619,119,Товары для дома,Помогает поддерживать нормальный уровень эстрогенов у женщин.,1996-01-05,2025-07-03,3.57,Cancelled
131,Патиссон,8005,254,Овощи,Прошел проверку на соответствие экологическим нормам и стандартам.,2005-03-04,2024-09-04,2.75,Pending
132,Фета,2225,537,Молочные продукты,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,2008-01-26,2029-01-23,1.34,Temporarily Unavailable
133,Чеддер,4878,321,Молочные продукты,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2002-01-10,2030-05-06,4.28,Available for Pickup
134,Брынза,3285,674,Молочные продукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2014-11-04,2017-05-24,0.03,In Stock
